Age,Gender,Work Experience,Monthly Income,Monthly Household Expense,Marital Status,Number of Children,Education Level,Have bank account,Savings in bank,Have smartphone,Access to internet,Loan Approval,Loan Approval Process (days)
53.0,Female,27.0,1538352.0,846519,Married,1.0,Primary,No,0.0,Yes,Yes,No,10.0
55.0,Female,20.0,1215300.0,935574,Single,0.0,Secondary,No,0.0,Yes,No,No,9.0
57.0,Female,23.0,1849174.0,1509187,Single,0.0,Secondary,No,0.0,Yes,Yes,No,13.0
37.0,Female,9.0,1761513.0,1372106,Married,3.0,Primary,Yes,18019324.0,Yes,Yes,No,13.0
52.0,Male,1.0,1473924.0,855202,Married,1.0,Bachelor,No,0.0,No,Yes,No,7.0
42.0,Male,22.0,1076329.0,678688,Married,2.0,Secondary,Yes,101167748.0,No,Yes,No,13.0
52.0,Male,7.0,1808733.0,1162338,Married,2.0,Primary,No,0.0,Yes,No,No,13.0
42.0,Male,15.0,1475674.0,1265741,Single,0.0,Primary,No,0.0,Yes,No,No,6.0
46.0,Male,26.0,1075739.0,776020,Single,1.0,Primary,No,0.0,No,Yes,No,9.0
35.0,Female,4.0,1830470.0,1336474,Married,2.0,Secondary,No,0.0,Yes,No,No,6.0
35.0,Male,2.0,2925813.0,2621266,Married,1.0,Primary,No,0.0,Yes,Yes,Yes,1.0
19.0,Male,1.0,1543220.0,1212541,Married,1.0,Bachelor,No,0.0,Yes,No,No,11.0
52.0,Male,12.0,2848443.0,2513771,Single,0.0,Secondary,No,0.0,Yes,Yes,Yes,4.0
33.0,Female,12.0,3280032.0,2358042,Married,0.0,Primary,Yes,157433180.0,Yes,No,Yes,5.0
58.0,Male,9.0,1132606.0,685556,Married,2.0,Secondary,No,0.0,No,Yes,No,8.0
53.0,Male,35.0,1806330.0,1614996,Married,2.0,Primary,No,0.0,Yes,Yes,No,10.0
50.0,Male,8.0,3272612.0,2355367,Married,4.0,Secondary,No,0.0,Yes,Yes,Yes,3.0
21.0,Male,1.0,1715244.0,1058654,Married,3.0,Secondary,No,0.0,No,Yes,No,6.0
50.0,Female,26.0,1825768.0,1208451,Married,0.0,Primary,Yes,19873205.0,Yes,Yes,No,12.0
31.0,Female,1.0,630996.0,358908,Single,0.0,Primary,Yes,83162459.0,Yes,Yes,No,8.0
38.0,Male,18.0,1427836.0,1032712,Single,0.0,Diploma,No,0.0,Yes,No,No,12.0
37.0,Female,0.0,2188912.0,1894847,Married,1.0,Secondary,No,0.0,Yes,No,No,7.0
25.0,Female,7.0,3500497.0,3134431,Married,0.0,Bachelor,No,0.0,Yes,No,Yes,4.0
24.0,Female,0.0,1662795.0,1488305,Married,3.0,Primary,No,0.0,Yes,No,No,9.0
20.0,Male,0.0,636161.0,379365,Married,0.0,Primary,No,0.0,Yes,No,No,7.0
34.0,Male,6.0,816325.0,564374,Married,3.0,Primary,Yes,74846373.0,Yes,No,No,11.0
50.0,Male,2.0,1774947.0,994759,Married,1.0,Secondary,Yes,92012078.0,Yes,No,Yes,3.0
29.0,Female,3.0,2624044.0,2273501,Married,5.0,Primary,Yes,0.0,No,Yes,Yes,4.0
39.0,Male,19.0,2246147.0,1533533,Single,0.0,Primary,No,0.0,Yes,No,No,12.0
39.0,Male,20.0,2122179.0,1662755,Single,0.0,Secondary,Yes,43819583.0,No,No,Yes,1.0
47.0,Male,29.0,2716401.0,2212542,Married,0.0,Secondary,No,0.0,No,No,Yes,5.0
55.0,Female,34.0,1295839.0,918804,Married,4.0,Primary,No,0.0,Yes,Yes,No,6.0
55.0,Male,34.0,1813366.0,1202957,Single,0.0,Primary,No,0.0,Yes,Yes,No,7.0
25.0,Female,0.0,1435732.0,1300800,Married,2.0,Secondary,Yes,94252654.0,Yes,No,No,11.0
44.0,Female,6.0,1609980.0,1460027,Single,0.0,Primary,Yes,27218731.0,No,No,No,9.0
44.0,Male,26.0,1095611.0,719916,Married,3.0,Primary,No,0.0,Yes,Yes,No,11.0
51.0,Female,25.0,1559216.0,1134269,Married,0.0,Primary,No,0.0,Yes,Yes,No,6.0
38.0,Male,13.0,1780599.0,1620260,Married,2.0,Secondary,No,0.0,Yes,Yes,No,8.0
47.0,Female,16.0,1539969.0,849756,Single,0.0,Secondary,No,0.0,Yes,Yes,No,5.0
50.0,Male,17.0,1687256.0,1185619,Married,1.0,Primary,No,0.0,No,Yes,No,9.0
45.0,Female,12.0,2083528.0,1223383,Married,0.0,Primary,No,0.0,Yes,Yes,No,12.0
50.0,Female,28.0,2667087.0,1969346,Single,0.0,Diploma,No,0.0,Yes,No,Yes,1.0
22.0,Female,3.0,2717809.0,1519602,Single,0.0,Master,No,0.0,No,No,Yes,1.0
36.0,Female,17.0,2332995.0,1634385,Married,0.0,Secondary,No,0.0,Yes,Yes,Yes,4.0
21.0,Male,3.0,918012.0,579870,Married,1.0,Bachelor,No,0.0,Yes,No,No,7.0
52.0,Female,0.0,1547713.0,1156643,Married,1.0,Secondary,No,0.0,Yes,Yes,No,6.0
34.0,Female,0.0,1608000.0,1476976,Married,3.0,Secondary,No,0.0,No,Yes,No,9.0
45.0,Female,25.0,1339995.0,1133901,Married,0.0,Primary,No,0.0,No,Yes,No,6.0
47.0,Male,25.0,2039645.0,1759984,Single,0.0,Primary,No,0.0,No,No,No,9.0
46.0,Female,12.0,683970.0,536949,Single,0.0,Primary,No,0.0,Yes,No,No,9.0
23.0,Female,3.0,2985496.0,1687931,Married,3.0,Secondary,No,0.0,Yes,No,Yes,4.0
52.0,Female,22.0,2636654.0,1651903,Married,5.0,Diploma,Yes,38908156.0,Yes,Yes,Yes,3.0
58.0,Male,9.0,2134741.0,1904773,Married,0.0,Secondary,Yes,79600832.0,No,Yes,Yes,2.0
54.0,Female,10.0,1756523.0,1204029,Married,1.0,Primary,Yes,161037208.0,Yes,Yes,Yes,2.0
41.0,Male,8.0,2660187.0,1565109,Divorced/Widowed,2.0,Primary,No,0.0,Yes,No,Yes,4.0
46.0,Female,8.0,2282583.0,1848641,Married,1.0,Primary,No,0.0,No,No,Yes,5.0
48.0,Male,4.0,2574646.0,1701324,Married,1.0,Primary,Yes,17290127.0,Yes,Yes,Yes,3.0
52.0,Female,0.0,1758663.0,1142211,Married,3.0,Secondary,Yes,123854478.0,Yes,Yes,Yes,1.0
50.0,Female,16.0,3052519.0,2806033,Single,1.0,Bachelor,No,0.0,No,No,Yes,1.0
38.0,Male,1.0,2616821.0,2270122,Married,2.0,Primary,Yes,35115361.0,Yes,No,Yes,4.0
49.0,Female,23.0,2156675.0,1511693,Single,0.0,Primary,Yes,120779344.0,Yes,Yes,Yes,3.0
40.0,Male,12.0,2679181.0,2445279,Married,2.0,Secondary,No,0.0,Yes,No,Yes,1.0
50.0,Female,28.0,1506586.0,1191019,Married,1.0,Primary,Yes,140542722.0,Yes,No,Yes,1.0
20.0,Female,0.0,982749.0,810324,Married,3.0,Diploma,Yes,20695094.0,Yes,Yes,No,12.0
35.0,Female,10.0,2025085.0,1137408,Married,3.0,Primary,No,0.0,No,Yes,No,11.0
42.0,Female,23.0,1760036.0,1047210,Single,0.0,Primary,No,0.0,Yes,Yes,No,10.0
59.0,Female,20.0,1661597.0,1303093,Married,0.0,Primary,No,0.0,No,Yes,No,11.0
48.0,Male,2.0,2651418.0,2340244,Divorced/Widowed,1.0,Primary,Yes,82910716.0,Yes,Yes,Yes,3.0
20.0,Male,1.0,1916997.0,1496762,Divorced/Widowed,0.0,Secondary,No,0.0,Yes,Yes,No,13.0
57.0,Female,18.0,1984498.0,1189883,Married,1.0,Primary,No,0.0,Yes,Yes,No,10.0
41.0,Female,12.0,1571063.0,931375,Divorced/Widowed,2.0,Primary,Yes,39223024.0,No,Yes,No,7.0
49.0,Female,27.0,2416786.0,2084112,Married,1.0,Primary,Yes,159200115.0,Yes,Yes,Yes,5.0
39.0,Female,6.0,2291313.0,1378320,Married,2.0,Primary,Yes,53502848.0,No,No,Yes,3.0
40.0,Male,14.0,2411561.0,1790549,Single,0.0,Primary,No,0.0,No,Yes,Yes,4.0
19.0,Female,0.0,1451915.0,818490,Married,4.0,Secondary,No,0.0,No,Yes,No,12.0
44.0,Male,6.0,2712861.0,1573046,Married,3.0,Secondary,No,0.0,No,No,Yes,2.0
59.0,Male,25.0,3087137.0,2465908,Married,3.0,Bachelor,No,0.0,Yes,Yes,Yes,1.0
19.0,Male,1.0,2389426.0,1923481,Married,2.0,Primary,No,0.0,No,No,Yes,3.0
43.0,Male,4.0,1233498.0,834268,Married,1.0,Primary,No,0.0,No,Yes,No,6.0
34.0,Male,13.0,1238458.0,779950,Married,2.0,Primary,No,0.0,Yes,No,No,8.0
57.0,Male,3.0,1537236.0,1308299,Married,2.0,Primary,Yes,3794886.0,Yes,No,No,8.0
50.0,Female,22.0,1404935.0,885570,Married,2.0,Secondary,No,0.0,Yes,Yes,No,6.0
26.0,Male,3.0,1750235.0,1313638,Married,2.0,Secondary,No,0.0,Yes,No,No,12.0
60.0,Male,14.0,2242709.0,2036911,Single,0.0,Secondary,No,0.0,Yes,Yes,No,7.0
56.0,Male,28.0,2002966.0,1211204,Married,1.0,Primary,No,0.0,No,No,No,6.0
46.0,Male,7.0,1941602.0,1743799,Married,1.0,Primary,No,0.0,No,Yes,No,11.0
59.0,Male,18.0,1631158.0,1007518,Married,3.0,Diploma,No,0.0,Yes,No,No,5.0
43.0,Male,15.0,1748307.0,1328632,Single,0.0,Primary,Yes,19737945.0,No,Yes,No,10.0
52.0,Female,27.0,2357602.0,1625549,Married,3.0,Secondary,No,0.0,Yes,No,Yes,5.0
42.0,Female,13.0,600000.0,544214,Single,0.0,Bachelor,No,0.0,Yes,No,No,7.0
41.0,Female,3.0,1792026.0,1166986,Single,0.0,Secondary,No,0.0,Yes,No,No,7.0
30.0,Male,9.0,2001591.0,1396857,Single,0.0,Secondary,Yes,178185190.0,Yes,Yes,Yes,5.0
24.0,Male,6.0,2348508.0,2145733,Married,3.0,Primary,Yes,179910034.0,No,Yes,Yes,3.0
53.0,Female,34.0,1092967.0,818079,Single,0.0,Primary,No,0.0,Yes,Yes,No,8.0
37.0,Male,4.0,1055963.0,777160,Married,2.0,Primary,No,0.0,Yes,Yes,No,7.0
18.0,Male,0.0,2208768.0,1425490,Married,2.0,Secondary,No,0.0,Yes,Yes,No,11.0
25.0,Male,0.0,600000.0,485702,Married,3.0,Primary,No,0.0,Yes,Yes,No,7.0
33.0,Male,2.0,2732532.0,1517424,Married,3.0,Secondary,No,0.0,No,Yes,Yes,2.0
31.0,Male,7.0,1958614.0,1113118,Divorced/Widowed,1.0,Secondary,No,0.0,Yes,Yes,No,8.0
29.0,Male,10.0,2891104.0,2231246,Married,2.0,Secondary,Yes,13323443.0,Yes,Yes,Yes,2.0
40.0,Female,7.0,1039049.0,702833,Married,2.0,Primary,Yes,138632693.0,No,Yes,No,6.0
32.0,Male,14.0,1494548.0,1349168,Married,2.0,Primary,No,0.0,Yes,Yes,No,13.0
45.0,Female,3.0,600000.0,530508,Married,2.0,Secondary,No,0.0,No,No,No,5.0
51.0,Female,33.0,1243017.0,1011904,Single,0.0,Secondary,No,0.0,Yes,Yes,No,5.0
19.0,Female,0.0,1671307.0,1425146,Married,2.0,Secondary,No,0.0,Yes,Yes,No,5.0
49.0,Female,23.0,600000.0,478147,Single,0.0,Primary,Yes,119635741.0,No,Yes,No,7.0
40.0,Female,9.0,1523761.0,908870,Married,4.0,Secondary,No,0.0,No,Yes,No,6.0
39.0,Male,3.0,600000.0,499950,Married,3.0,Secondary,No,0.0,Yes,No,No,7.0
42.0,Male,2.0,1619777.0,1016849,Married,2.0,Primary,No,0.0,Yes,Yes,No,9.0
39.0,Male,1.0,2602978.0,1743146,Divorced/Widowed,1.0,Secondary,Yes,107886058.0,No,Yes,Yes,1.0
39.0,Female,16.0,1775514.0,1514720,Married,0.0,Secondary,No,0.0,Yes,No,No,6.0
59.0,Female,22.0,2960745.0,2216160,Married,0.0,Primary,No,0.0,Yes,No,Yes,4.0
23.0,Male,4.0,2350404.0,2040569,Divorced/Widowed,0.0,Primary,No,0.0,Yes,Yes,Yes,3.0
32.0,Female,7.0,2743703.0,1725303,Married,3.0,Secondary,No,0.0,Yes,Yes,Yes,1.0
60.0,Male,22.0,1264538.0,979862,Married,3.0,Primary,Yes,100160182.0,Yes,Yes,No,10.0
54.0,Female,4.0,1247600.0,724858,Single,0.0,Secondary,Yes,126155917.0,No,Yes,No,7.0
50.0,Male,30.0,2041929.0,1608902,Married,2.0,Secondary,Yes,98815443.0,Yes,Yes,Yes,5.0
25.0,Male,5.0,695608.0,578841,Married,2.0,Diploma,No,0.0,No,No,No,11.0
22.0,Male,4.0,2129800.0,1632330,Married,1.0,Secondary,No,0.0,Yes,Yes,No,10.0
56.0,Male,5.0,1573256.0,1020265,Married,0.0,Primary,No,0.0,Yes,No,No,11.0
21.0,Male,0.0,2730997.0,1533719,Single,0.0,Primary,Yes,125132442.0,Yes,Yes,Yes,5.0
23.0,Male,0.0,2275658.0,1352187,Single,1.0,Secondary,No,0.0,Yes,Yes,Yes,5.0
49.0,Female,9.0,2567694.0,2003448,Married,2.0,Primary,No,0.0,Yes,No,Yes,5.0
47.0,Male,7.0,1272055.0,1139424,Divorced/Widowed,1.0,Secondary,Yes,0.0,Yes,Yes,No,5.0
52.0,Male,6.0,2533747.0,1587184,Married,4.0,Secondary,No,0.0,No,Yes,Yes,3.0
57.0,Female,38.0,2811298.0,2310773,Married,0.0,Primary,Yes,9801896.0,Yes,Yes,Yes,3.0
33.0,Female,5.0,1772900.0,1543463,Married,3.0,Primary,Yes,28226991.0,Yes,Yes,No,11.0
30.0,Male,4.0,1282454.0,952512,Married,2.0,Secondary,Yes,69696777.0,No,Yes,No,7.0
59.0,Male,19.0,1294748.0,1032727,Married,2.0,Diploma,No,0.0,No,Yes,No,9.0
47.0,Male,2.0,2667309.0,2271362,Married,1.0,Primary,No,0.0,Yes,Yes,Yes,4.0
36.0,Male,18.0,3679042.0,2378315,Married,3.0,Bachelor,No,0.0,Yes,Yes,Yes,4.0
34.0,Female,14.0,1112848.0,734314,Married,3.0,Secondary,No,0.0,No,No,No,11.0
36.0,Male,3.0,1059035.0,582715,Married,0.0,Master,No,0.0,No,Yes,No,5.0
45.0,Male,27.0,2444989.0,2216003,Divorced/Widowed,1.0,Primary,No,0.0,Yes,Yes,Yes,3.0
43.0,Female,11.0,1272260.0,1131664,Married,0.0,Primary,No,0.0,Yes,No,No,7.0
54.0,Male,35.0,2512848.0,2092926,Married,4.0,Secondary,No,0.0,No,No,Yes,4.0
43.0,Female,14.0,2125742.0,1231353,Married,2.0,Diploma,No,0.0,No,Yes,No,10.0
40.0,Male,8.0,1783215.0,1276025,Married,3.0,Primary,Yes,138443909.0,No,Yes,Yes,1.0
26.0,Female,4.0,2108890.0,1239394,Married,2.0,Secondary,No,0.0,Yes,No,No,8.0
29.0,Male,6.0,2066138.0,1148546,Married,1.0,Diploma,No,0.0,Yes,Yes,No,11.0
18.0,Female,0.0,1674275.0,1302565,Married,0.0,Primary,Yes,107604257.0,Yes,No,Yes,3.0
18.0,Female,0.0,600000.0,543304,Married,1.0,Secondary,No,0.0,Yes,No,No,6.0
51.0,Male,29.0,1925055.0,1701866,Married,1.0,Secondary,Yes,95679610.0,Yes,Yes,Yes,1.0
49.0,Female,29.0,2901142.0,2343540,Single,0.0,Primary,No,0.0,Yes,Yes,Yes,1.0
42.0,Female,4.0,673861.0,394718,Married,0.0,Primary,Yes,4268851.0,Yes,No,No,10.0
57.0,Female,24.0,1123950.0,732186,Married,2.0,Secondary,Yes,49886120.0,Yes,Yes,No,9.0
18.0,Female,0.0,2098778.0,1402867,Single,0.0,Primary,No,0.0,No,Yes,No,5.0
33.0,Female,15.0,1827014.0,1520743,Single,0.0,Primary,No,0.0,No,Yes,No,7.0
56.0,Male,26.0,2087827.0,1768039,Married,3.0,Bachelor,No,0.0,No,No,No,11.0
22.0,Male,2.0,1310477.0,907491,Married,2.0,Secondary,Yes,172211282.0,No,Yes,Yes,4.0
39.0,Female,13.0,2613720.0,1841671,Married,5.0,Secondary,Yes,13589125.0,Yes,No,Yes,1.0
46.0,Male,24.0,1832830.0,1038240,Married,1.0,Secondary,No,0.0,Yes,No,No,13.0
20.0,Female,1.0,2287889.0,1503098,Married,2.0,Primary,No,0.0,Yes,Yes,Yes,3.0
29.0,Female,10.0,2024194.0,1451297,Married,2.0,Primary,No,0.0,Yes,No,No,5.0
43.0,Male,14.0,1922846.0,1140793,Married,2.0,Primary,Yes,116599809.0,No,Yes,Yes,3.0
33.0,Male,5.0,2238783.0,1606794,Divorced/Widowed,1.0,Primary,No,0.0,Yes,No,No,6.0
54.0,Female,35.0,1930541.0,1671221,Married,2.0,Secondary,No,0.0,Yes,Yes,No,9.0
39.0,Male,6.0,966860.0,739733,Married,2.0,Secondary,No,0.0,Yes,Yes,No,12.0
46.0,Female,15.0,2561149.0,1483427,Married,2.0,Secondary,No,0.0,Yes,No,Yes,5.0
31.0,Male,7.0,2372689.0,1473246,Married,5.0,Primary,Yes,49650574.0,Yes,Yes,Yes,1.0
45.0,Female,21.0,600000.0,435348,Single,1.0,Primary,Yes,37577615.0,Yes,No,No,7.0
22.0,Male,4.0,1342059.0,917633,Married,1.0,Secondary,No,0.0,Yes,No,No,9.0
47.0,Female,21.0,2529652.0,1727066,Married,0.0,Primary,No,0.0,Yes,Yes,Yes,5.0
22.0,Male,4.0,600000.0,447497,Married,3.0,Primary,No,0.0,No,Yes,No,9.0
29.0,Female,7.0,2460496.0,1885297,Married,5.0,Secondary,No,0.0,Yes,No,Yes,5.0
33.0,Male,0.0,1701144.0,1437192,Married,1.0,Primary,No,0.0,Yes,Yes,No,12.0
43.0,Female,15.0,2738197.0,1851452,Married,1.0,Primary,No,0.0,Yes,No,Yes,5.0
43.0,Female,22.0,1799197.0,1525759,Married,4.0,Secondary,No,0.0,Yes,No,No,7.0
38.0,Male,9.0,1294552.0,874193,Married,3.0,Primary,Yes,145750281.0,Yes,No,No,6.0
56.0,Male,9.0,2015659.0,1149954,Married,1.0,Secondary,Yes,95446025.0,Yes,No,Yes,1.0
53.0,Male,31.0,1778730.0,1343029,Married,2.0,Primary,No,0.0,No,Yes,No,10.0
50.0,Female,8.0,1232404.0,945899,Single,1.0,Primary,Yes,25332552.0,No,No,No,13.0
47.0,Female,16.0,3352840.0,3003406,Married,3.0,Primary,Yes,5501211.0,Yes,No,Yes,3.0
54.0,Male,10.0,1120231.0,917068,Married,3.0,Bachelor,Yes,56328727.0,Yes,No,No,9.0
40.0,Male,9.0,600000.0,533745,Married,3.0,Secondary,Yes,118674784.0,Yes,Yes,No,13.0
27.0,Male,5.0,2907189.0,2576026,Married,1.0,Master,Yes,158407363.0,Yes,Yes,Yes,1.0
22.0,Female,0.0,1391505.0,1076596,Married,3.0,Secondary,No,0.0,Yes,No,No,11.0
53.0,Male,16.0,1592258.0,1186665,Married,1.0,Secondary,No,0.0,Yes,Yes,No,8.0
51.0,Female,3.0,1549465.0,1171787,Married,4.0,Primary,No,0.0,No,Yes,No,6.0
48.0,Male,15.0,1401243.0,1277908,Married,2.0,Primary,No,0.0,No,Yes,No,6.0
27.0,Female,3.0,1263665.0,1056514,Single,0.0,Primary,No,0.0,No,Yes,No,8.0
36.0,Male,14.0,1102227.0,649562,Divorced/Widowed,0.0,Primary,Yes,33908023.0,No,Yes,No,5.0
49.0,Male,24.0,1845331.0,1546421,Married,2.0,Primary,No,0.0,Yes,Yes,No,8.0
18.0,Female,0.0,1518608.0,931057,Married,0.0,Primary,Yes,122881346.0,Yes,Yes,No,10.0
22.0,Female,2.0,2311253.0,1653747,Married,2.0,Primary,No,0.0,Yes,No,Yes,5.0
21.0,Female,0.0,2137885.0,1342314,Married,3.0,Primary,No,0.0,Yes,Yes,No,13.0
33.0,Male,4.0,1150741.0,926514,Single,0.0,Primary,No,0.0,Yes,Yes,No,6.0
41.0,Male,5.0,1875964.0,1640726,Married,2.0,Secondary,No,0.0,Yes,Yes,No,6.0
33.0,Female,0.0,1507513.0,991090,Married,0.0,Secondary,No,0.0,Yes,Yes,No,8.0
19.0,Female,0.0,1105837.0,641765,Married,4.0,Primary,No,0.0,No,No,No,8.0
45.0,Male,24.0,2282602.0,1507527,Married,3.0,Primary,Yes,2263721.0,No,No,Yes,4.0
49.0,Male,18.0,1715072.0,1369954,Married,3.0,Primary,No,0.0,Yes,Yes,No,5.0
44.0,Male,3.0,1514714.0,1017344,Married,3.0,Diploma,No,0.0,Yes,Yes,No,8.0
37.0,Female,16.0,1201102.0,784201,Married,3.0,Primary,No,0.0,Yes,No,No,9.0
41.0,Male,8.0,1080444.0,667974,Married,2.0,Secondary,Yes,87994134.0,No,Yes,No,13.0
29.0,Male,7.0,3192137.0,2343287,Married,3.0,Primary,No,0.0,Yes,Yes,Yes,3.0
52.0,Male,1.0,2033883.0,1326297,Married,2.0,Primary,Yes,161312467.0,No,Yes,Yes,3.0
50.0,Male,14.0,1036209.0,850182,Single,0.0,Primary,Yes,174837172.0,Yes,Yes,No,9.0
50.0,Male,31.0,2001506.0,1157571,Married,3.0,Primary,No,0.0,Yes,Yes,No,10.0
60.0,Male,38.0,2543411.0,2023772,Married,0.0,Diploma,Yes,88910761.0,Yes,Yes,Yes,3.0
54.0,Male,5.0,1917262.0,1223016,Married,2.0,Secondary,No,0.0,Yes,Yes,No,5.0
29.0,Female,0.0,2761814.0,2018978,Married,0.0,Secondary,No,0.0,Yes,Yes,Yes,2.0
20.0,Male,2.0,720030.0,472234,Single,0.0,Secondary,No,0.0,No,Yes,No,12.0
18.0,Male,0.0,600000.0,490454,Married,2.0,Secondary,No,0.0,Yes,Yes,No,5.0
50.0,Female,22.0,1982362.0,1783657,Divorced/Widowed,2.0,Secondary,No,0.0,Yes,Yes,No,6.0
57.0,Female,38.0,1993547.0,1772898,Married,0.0,Primary,No,0.0,No,Yes,No,7.0
27.0,Male,8.0,600000.0,459520,Married,2.0,Primary,No,0.0,Yes,Yes,No,10.0
60.0,Male,16.0,1363496.0,983306,Married,4.0,Primary,No,0.0,Yes,No,No,8.0
46.0,Male,1.0,1093936.0,932877,Married,3.0,Secondary,No,0.0,Yes,No,No,8.0
30.0,Female,10.0,825637.0,662846,Married,2.0,Primary,Yes,64271425.0,No,Yes,No,13.0
29.0,Female,8.0,1092270.0,674934,Married,3.0,Secondary,No,0.0,Yes,Yes,No,10.0
48.0,Female,28.0,2217051.0,1892785,Single,0.0,Primary,Yes,167461533.0,Yes,Yes,Yes,4.0
19.0,Female,0.0,1087816.0,770921,Married,1.0,Bachelor,Yes,106009736.0,No,Yes,No,6.0
52.0,Female,12.0,1111814.0,689240,Married,1.0,Primary,Yes,85804122.0,No,Yes,No,11.0
40.0,Male,5.0,666836.0,436287,Married,1.0,Primary,No,0.0,Yes,No,No,7.0
34.0,Male,5.0,2688236.0,1744624,Married,1.0,Diploma,No,0.0,No,No,Yes,1.0
43.0,Female,19.0,2104242.0,1561571,Married,4.0,Primary,No,0.0,Yes,Yes,No,10.0
25.0,Female,3.0,600000.0,382030,Married,3.0,Bachelor,No,0.0,Yes,Yes,No,12.0
46.0,Male,20.0,1112431.0,662696,Married,2.0,Primary,No,0.0,Yes,No,No,5.0
43.0,Female,2.0,2169962.0,1292788,Married,2.0,Primary,No,0.0,No,Yes,No,6.0
27.0,Male,0.0,2696974.0,2065375,Married,1.0,Secondary,No,0.0,Yes,No,Yes,3.0
43.0,Male,16.0,2388587.0,1963086,Married,3.0,Diploma,No,0.0,No,Yes,Yes,1.0
51.0,Male,11.0,1551021.0,1037582,Married,3.0,Primary,No,0.0,Yes,Yes,No,10.0
58.0,Male,0.0,600000.0,337692,Married,1.0,Diploma,No,0.0,Yes,Yes,No,9.0
24.0,Female,0.0,2409174.0,1438453,Married,0.0,Secondary,No,0.0,Yes,No,Yes,5.0
21.0,Male,2.0,1592172.0,1414544,Single,0.0,Secondary,Yes,92882391.0,No,No,No,13.0
28.0,Female,9.0,1848203.0,1354014,Married,2.0,Primary,No,0.0,No,Yes,No,10.0
46.0,Female,14.0,1675805.0,1202929,Single,0.0,Primary,No,0.0,Yes,No,No,9.0
53.0,Female,35.0,851129.0,480103,Married,2.0,Diploma,No,0.0,No,Yes,No,5.0
42.0,Male,3.0,2054975.0,1684248,Divorced/Widowed,1.0,Diploma,No,0.0,Yes,No,No,5.0
38.0,Male,17.0,1958521.0,1459852,Single,0.0,Secondary,No,0.0,Yes,No,No,5.0
53.0,Male,18.0,1501947.0,938371,Married,2.0,Primary,No,0.0,No,Yes,No,11.0
27.0,Female,3.0,2129774.0,1258115,Single,0.0,Primary,No,0.0,Yes,Yes,No,10.0
54.0,Female,34.0,838200.0,579911,Married,4.0,Secondary,Yes,94266640.0,No,No,No,9.0
26.0,Male,7.0,1611698.0,1385657,Married,5.0,Primary,No,0.0,Yes,No,No,8.0
41.0,Female,13.0,1818289.0,1582200,Married,4.0,Primary,No,0.0,Yes,Yes,No,12.0
52.0,Male,32.0,600000.0,463831,Married,3.0,Primary,Yes,26428956.0,No,Yes,No,12.0
52.0,Female,13.0,1760032.0,1441797,Single,0.0,Secondary,No,0.0,No,No,No,9.0
53.0,Male,33.0,2313551.0,1371028,Married,3.0,Primary,No,0.0,Yes,Yes,Yes,4.0
35.0,Female,3.0,1587738.0,1218758,Single,1.0,Secondary,Yes,39193443.0,Yes,Yes,No,6.0
56.0,Male,23.0,1776119.0,1415171,Married,1.0,Secondary,No,0.0,No,Yes,No,11.0
49.0,Female,26.0,2193640.0,1369409,Single,0.0,Secondary,No,0.0,Yes,No,No,9.0
41.0,Female,18.0,1528539.0,1338476,Married,3.0,Primary,No,0.0,No,Yes,No,7.0
40.0,Female,5.0,1591541.0,990175,Married,2.0,Primary,Yes,161578929.0,No,Yes,Yes,1.0
49.0,Male,24.0,976307.0,650207,Married,1.0,Secondary,No,0.0,Yes,Yes,No,13.0
54.0,Male,32.0,1789544.0,1395139,Married,2.0,Secondary,No,0.0,Yes,No,No,12.0
29.0,Male,0.0,1565606.0,1230863,Married,3.0,Secondary,Yes,106500958.0,Yes,No,No,5.0
30.0,Male,7.0,2149362.0,1738344,Single,0.0,Diploma,Yes,1845040.0,Yes,No,No,7.0
40.0,Male,18.0,2194421.0,1297877,Single,0.0,Secondary,No,0.0,No,Yes,Yes,2.0
42.0,Female,20.0,2353846.0,2034433,Married,1.0,Secondary,No,0.0,No,No,Yes,4.0
52.0,Female,0.0,1444217.0,1079051,Married,4.0,Primary,Yes,125686588.0,Yes,No,No,6.0
58.0,Male,4.0,600000.0,434633,Divorced/Widowed,1.0,Primary,No,0.0,Yes,No,No,12.0
47.0,Male,26.0,2319147.0,2117395,Married,0.0,Secondary,No,0.0,Yes,No,Yes,1.0
34.0,Male,15.0,2101784.0,1731743,Married,0.0,Primary,No,0.0,Yes,Yes,No,8.0
37.0,Female,5.0,1355295.0,804587,Single,0.0,Secondary,Yes,162563154.0,No,Yes,Yes,5.0
42.0,Male,7.0,2188458.0,1816243,Married,2.0,Primary,No,0.0,No,No,No,8.0
39.0,Female,12.0,785987.0,459992,Married,2.0,Secondary,Yes,42905005.0,Yes,No,No,12.0
30.0,Male,2.0,2521168.0,1412267,Single,0.0,Primary,No,0.0,No,Yes,Yes,2.0
36.0,Female,18.0,1566462.0,1095492,Married,0.0,Primary,No,0.0,Yes,Yes,No,13.0
53.0,Female,11.0,1219750.0,1119271,Married,3.0,Bachelor,No,0.0,No,No,No,6.0
29.0,Male,10.0,1364808.0,838957,Married,3.0,Primary,No,0.0,No,Yes,No,6.0
58.0,Female,9.0,1637960.0,1308530,Single,0.0,Primary,No,0.0,Yes,Yes,No,7.0
36.0,Male,3.0,1791591.0,1100317,Married,2.0,Primary,No,0.0,Yes,No,No,12.0
